Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,780827,0.8127,0.0101,2438,✅
2,779815,0.6847,0.0104,2054,
3,8172406,0.6643,0.0119,1993,
4,794870,0.6347,0.0125,1904,
5,793999,0.6253,0.0109,1876,
6,793998,0.6130,0.0120,1839,
7,794871,0.5567,0.0125,1670,
8,779434,0.5403,0.0142,1621,
9,784907,0.5070,0.0096,1521,
10,787914,0.5033,0.0098,1510,
11,8094080,0.4927,0.0102,1478,
12,780299,0.4767,0.0126,1430,
13,8155627,0.4470,0.0088,1341,
14,8087967,0.4457,0.0117,1337,
15,798475,0.4293,0.0111,1288,
16,781926,0.4127,0.0078,1238,
17,8112097,0.3947,0.0102,1184,
18,8141860,0.3933,0.0118,1180,
19,798480,0.3927,0.0104,1178,
20,792440,0.3833,0.0105,1150,
21,793548,0.3473,0.0115,1042,
22,783619,0.3453,0.0097,1036,
23,778504,0.3440,0.0121,1032,
24,779533,0.3150,0.0108,945,
25,780283,0.3117,0.0104,935,
26,792441,0.2953,0.0120,886,
27,787629,0.2710,0.0120,813,
28,775310,0.2583,0.0123,775,
29,780300,0.2450,0.0130,735,
30,783595,0.2137,0.0117,641,
31,779530,0.2060,0.0121,618,
32,8139623,0.1550,0.0123,465,
