Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,8139855,1.0000,0.0079,3000,✅
2,8148795,1.0000,0.0066,3000,
3,8126325,0.8770,0.0114,2631,
4,8126238,0.8453,0.0120,2536,
5,793426,0.8447,0.0100,2534,
6,788771,0.8270,0.0090,2481,
7,8103578,0.8247,0.0089,2474,
8,8188922,0.7720,0.0102,2316,
9,781923,0.7650,0.0098,2295,
10,781912,0.7470,0.0103,2241,
11,791705,0.7240,0.0094,2172,
12,777240,0.6960,0.0106,2088,
13,781915,0.5607,0.0105,1682,
14,776840,0.5510,0.0090,1653,
15,8103576,0.5480,0.0099,1644,
16,8122655,0.5080,0.0101,1524,
17,8174397,0.5057,0.0080,1517,
18,777239,0.5023,0.0115,1507,
19,8139718,0.4780,0.0077,1434,
20,8171486,0.4567,0.0116,1370,
21,781914,0.4550,0.0106,1365,
22,794515,0.4367,0.0124,1310,
23,785887,0.3797,0.0104,1139,
24,792358,0.3397,0.0116,1019,
25,777217,0.2947,0.0119,884,
26,778915,0.2910,0.0122,873,
27,779699,0.2657,0.0122,797,
28,781613,0.2077,0.0124,623,
29,794262,0.1917,0.0113,575,
30,8178944,0.1750,0.0104,525,
